columnId	description	type
age	Age when the sample was taken	text
aligned	boolean
altitude	Altitude (m)	number
assembly_quality	Quality of assembly	text
assembly_software	Assembly software	text
bam_aspera	Aspera links for generated bam files. Use era-fasp or datahub name as username.	text
bam_bytes	size (in bytes) of generated BAM files	text
bam_file_role	File role for bam file	text
bam_ftp	FTP links for generated bam files	text
bam_galaxy	Galaxy links for generated bam files	text
bam_md5	MD5 checksum of generated BAM files	text
base_count	number of base pairs	number
binning_software	Binning software	text
bio_material	identifier for biological material including institute and collection code	text
bisulfite_protocol	text
broad_scale_environmental_context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class: http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.	text
broker_name	broker name	controlled value
cage_protocol	Link to the protocol for CAGE-seq experiments	text
cell_line	cell line from which the sample was obtained	text
cell_type	cell type from which the sample was obtained	text
center_name	Submitting center	text
checklist	ENA metadata reporting standard used to register the biosample (Checklist used)	controlled value
chip_ab_provider	text
chip_protocol	text
chip_target	Chip target	text
collected_by	name of the person who collected the specimen	text
collection_date	Time when specimen was collected	date
collection_date_end	Time when specimen was collected	date
collection_date_start	Time when specimen was collected	date
completeness_score	Completeness score (%)	number
contamination_score	Contamination score (%)	number
control_experiment	Control experiment	text
country	locality of sample isolation: country names, oceans or seas, followed by regions and localities	text
cultivar	cultivar (cultivated variety) of plant from which sample was obtained	text
culture_collection	identifier for the sample culture including institute and collection code	text
datahub	DCC datahub name	controlled value
depth	Depth (m)	number
description	brief sequence description	text
dev_stage	sample obtained from an organism in a specific developmental stage	text
disease	Disease associated with the sample	text
dnase_protocol	text
ecotype	a population within a given species displaying traits that reflect adaptation to a local habitat	text
elevation	Elevation (m)	number
environment_biome	Environment (Biome)	text
environment_feature	Environment (Feature)	text
environment_material	Environment (Material)	text
environmental_medium	Report the environmental material(s) immediately surrounding the sample or specimen at the time of sampling. We recommend using subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483). EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air, water, blood) and not discrete, countable entities (e.g. a tree, a leaf, a table top).	text
environmental_sample	identifies sequences derived by direct molecular isolation from an environmental DNA sample	boolean
experiment_accession	experiment accession number	text
experiment_alias	submitter's name for the experiment	text
experiment_target	text
experiment_title	brief experiment title	text
experimental_factor	variable aspects of the experimental design	text
experimental_protocol	text
extraction_protocol	text
faang_library_selection	Library Selection for FAANG WGS/BS-Seq experiments	text
fastq_aspera	Aspera links for fastq files. Use era-fasp or datahub name as username.	text
